NCBI taxon id,scientific name,mean relative abundance,median relative abundance,SD of relative abundance
139,Borreliella burgdorferi,0.00171493,0.00171493,0
140,Borrelia hermsii,0.000714556,0.000714556,0
142,Borrelia turicatae,0.000573432,0.000573432,2.53E-06
144,Borrelia coriaceae,0.001635346,0.001635346,0.00095313
147,Spirochaeta aurantia,0.00291632,0.00121729,0.003956237
148,Spirochaeta bajacaliforniensis,0.004004975,0.001073415,0.007048274
150,Spirochaeta isovalerica,0.001343666,0.000721808,0.002034681
151,Spirochaeta litoralis,0.002472864,0.001032545,0.003204526
152,Treponema stenostreptum,0.001507556,0.000831222,0.001434928
154,Spirochaeta thermophila,0.001954232,0.000849273,0.001906608
156,Treponema zuelzerae,0.003995419,0.00342654,0.003333271
158,Treponema denticola,0.009686887,0.002141525,0.029040698
159,Brachyspira hyodysenteriae,0.007753258,0.004141155,0.013119888
160,Treponema pallidum,0.087244009,0.02604689,0.123157374
162,Treponema phagedenis,0.001839779,0.001468165,0.002236651
163,Treponema bryantii,0.005656523,0.00268528,0.008998084
164,Treponema pectinovorum,0.018348564,0.00247948,0.064196677
167,Treponema succinifaciens,2.536230276,0.178985,5.279779556
172,Leptospira biflexa,0.000532044,0.00046037,0.000429479
173,Leptospira interrogans,0.001395302,0.00148117,0.001189904
174,Leptospira borgpetersenii,0.001221248,0.000898749,0.001249178
180,Leptospirillum ferrooxidans,0.001956357,0.00179348,0.001313409
183,Leptonema illini,0.003439402,0.00343666,0.00217729
188,Magnetospirillum magnetotacticum,0.000398667,0.000304453,0.000312167
189,Novispirillum itersonii,0.004605369,0.00153283,0.007488695
190,Aquaspirillum serpens,0.05196211,0.002465,0.44387477
192,Azospirillum brasilense,0.004016985,0.000779046,0.01616622
193,Azospirillum lipoferum,0.030285181,0.00144772,0.153530633
195,Campylobacter coli,0.04674848,0.000932758,0.123937123
196,Campylobacter fetus,0.003180673,0.001331715,0.005238419
197,Campylobacter jejuni,0.21411488,0.00185329,1.841310282
198,Campylobacter hyointestinalis,0.203833375,0.00107963,0.785971574
199,Campylobacter concisus,0.03795059,0.00302819,0.194592476
200,Campylobacter curvus,0.008324179,0.00222547,0.033058355
201,Campylobacter lari,0.000897091,0.000897091,0.000208722
202,Campylobacter mucosalis,0.014082786,0.0018596,0.058313962
203,Campylobacter rectus,0.00206484,0.00147067,0.002189714
204,Campylobacter showae,0.022433881,0.002599225,0.178124699
206,Campylobacter sputorum,0.003265416,0.001060225,0.003787912
210,Helicobacter pylori,0.012716364,0.00194352,0.069291923
211,Helicobacter sp. CLO-3,0.000572126,0.000572126,0.000314242
213,Helicobacter cinaedi,0.068251918,0.002296815,0.282013696
214,Helicobacter felis,0.025007997,0.00283214,0.089940862
215,Helicobacter fennelliae,0.002307869,0.002427884,0.002026441
216,Helicobacter muridarum,0.002560975,0.00278567,0.002406791
217,Helicobacter mustelae,0.002917026,0.000807944,0.005474493
228,Pseudoalteromonas haloplanktis,0.004751657,0.00106852,0.015200043
236,Brucella ovis,0.000857467,0.000857467,0
238,Elizabethkingia meningoseptica,0.006950199,0.00251809,0.016477866
245,Flavobacterium aquatile,0.061616043,0.00118634,0.385009326
246,Chryseobacterium balustinum,0.010816119,0.002769145,0.048086273
247,Empedobacter brevis,0.015352899,0.00148663,0.069409145
249,Terrimonas ferruginea,0.001932595,0.00142045,0.001939202
250,Chryseobacterium gleum,0.00334456,0.00350116,0.002042208
252,Halomonas halmophila,0.004012317,0.00385743,0.003247659
253,Chryseobacterium indologenes,0.010227674,0.00505766,0.018692712
254,Chryseobacterium indoltheticum,0.164654785,0.0026039,0.978067973
256,Myroides odoratus,0.003758741,0.00299531,0.005412152
258,Sphingobacterium spiritivorum,0.029042955,0.002563905,0.218032048
259,Sphingobacterium thalpophilum,0.005840482,0.00271304,0.021423787
263,Francisella tularensis,0.008594525,0.00270135,0.024382074
266,Paracoccus denitrificans,0.014581831,0.00420145,0.032156021
267,Paracoccus sp.,0.01106,0.01106,0.009588368
271,Thermus aquaticus,0.001666538,0.000503409,0.001911808
274,Thermus thermophilus,0.02306681,0.006473675,0.065836167
276,Thermus filiformis,0.00181433,0.001126656,0.001735936
277,Meiothermus ruber,0.002599345,0.00223116,0.001946008
280,Xanthobacter autotrophicus,0.030885673,0.00483312,0.054170711
285,Comamonas testosteroni,0.147271413,0.0031839,1.069473706
287,Pseudomonas aeruginosa,0.479508688,0.00475949,3.301469516
292,Burkholderia cepacia,1.189768869,0.0344293,2.820467641
293,Brevundimonas diminuta,0.35115055,0.00295247,2.704010707
294,Pseudomonas fluorescens,0.066650815,0.004317445,0.507463022
296,Pseudomonas fragi,0.038422791,0.03213,0.036040233
297,Hydrogenophilus thermoluteolus,0.007700374,0.002887675,0.021532976
300,Pseudomonas mendocina,0.076891315,0.00510178,0.194281879
301,Pseudomonas oleovorans,0.026037266,0.00492975,0.097395054
303,Pseudomonas putida,0.019657765,0.00497246,0.059111793
304,Pelomonas saccharophila,0.000275916,0.000275916,0
305,Ralstonia solanacearum,0.146378724,0.00496796,0.452375711
306,Pseudomonas sp.,0.078073684,0.020305,0.178276709
316,Pseudomonas stutzeri,0.017704067,0.00447868,0.063555682
317,Pseudomonas syringae,0.233880387,0.005833075,1.058236441
329,Ralstonia pickettii,0.178922965,0.0061393,0.443940834
337,Burkholderia glumae,0.00114329,0.00114329,0
339,Xanthomonas campestris,0.005501806,0.00258839,0.009522788
343,Xanthomonas translucens,0.290149929,0.00175773,1.070370329
346,Xanthomonas citri,0.030439956,0.00543357,0.068112703
347,Xanthomonas oryzae,0.005990144,0.00245785,0.010812771
350,Zoogloea ramigera,0.004532488,0.00343501,0.005472886
353,Azotobacter chroococcum,0.000553531,0.000547139,0.000422001
354,Azotobacter vinelandii,0.002754848,0.00162882,0.002289149
358,Agrobacterium tumefaciens,0.012617233,0.00149148,0.098810918
373,Agrobacterium vitis,0.001445333,0.00115433,0.001356234
375,Bradyrhizobium japonicum,0.002835008,0.00200413,0.003621141
380,Sinorhizobium fredii,0.007734221,0.00408397,0.010234674
381,Mesorhizobium loti,0.351066677,0.004878155,1.029000263
382,Sinorhizobium meliloti,0.015865505,0.00251263,0.037294104
384,Rhizobium leguminosarum,0.005164541,0.00183645,0.007484255
398,Rhizobium tropici,0.000770455,0.000770455,0.000123054
399,Neorhizobium galegae,0.00285242,0.00285242,0
405,Methylobacillus flagellatus,0.004527958,0.00296663,0.007079048
406,Methylobacillus glycogenes,0.009363761,0.00284344,0.020410861
408,Methylobacterium extorquens,0.006966611,0.00137737,0.020699702
410,Methylobacterium organophilum,0.005446353,0.0015966,0.015147238
414,Methylococcus capsulatus,0.009521896,0.001424075,0.041890125
415,Methylobacter luteus,0.003427962,0.00225779,0.007918567
421,Methylomonas methanica,0.003844399,0.001904655,0.005414247
424,Methylomonas rubra,0.001683986,0.000880607,0.001902357
426,Methylosinus trichosporium,0.001615924,0.00117487,0.001366322
428,Methylosinus sporium,0.00300819,0.00300819,0.003643849
435,Acetobacter aceti,0.002791487,0.00304794,0.000899044
436,Komagataeibacter hansenii,0.00070849,0.000582428,0.00070465
437,Acidomonas methanolica,0.000430254,0.000430254,0
438,Acetobacter pasteurianus,0.052200694,0.00282496,0.196006111
442,Gluconobacter oxydans,0.003468172,0.00201706,0.005974814
446,Legionella pneumophila,0.008798841,0.00143178,0.030244304
447,Fluoribacter bozemanae,0.000575218,0.000575218,0
449,Legionella hackeliae,0.002225778,0.00111323,0.004015375
450,Legionella longbeachae,0.123505299,0.0841899,0.107281948
451,Tatlockia micdadei,0.00698977,0.00698977,0.001490567
453,Legionella feeleii,0.002700196,0.00198267,0.002811875
454,Legionella israelensis,0.000673954,0.000673954,0
456,Legionella jordanis,0.001585889,0.00161561,0.001122554
464,Fluoribacter gormanii,0.00294215,0.00294215,0.002304447
466,Legionella maceachernii,0.001823287,0.00193397,0.000357351
470,Acinetobacter baumannii,0.109503695,0.003536555,1.151514152
471,Acinetobacter calcoaceticus,0.042332399,0.00363738,0.197223149
472,Acinetobacter sp.,0.045176452,0.02546,0.055784115
476,Moraxella bovis,0.001045336,0.000792197,0.0008562
477,Moraxella lacunata,0.020878226,0.00139782,0.113979982
478,Moraxella nonliquefaciens,0.404761854,0.00427338,2.869995432
480,Moraxella catarrhalis,0.636414307,0.003093955,5.124150447
483,Neisseria cinerea,0.208886418,0.00280971,1.232908067
484,Neisseria flavescens,0.071587391,0.03,0.131600941
485,Neisseria gonorrhoeae,0.04946675,0.04946675,0.068137587
486,Neisseria lactamica,0.010892298,0.00363848,0.064232991
487,Neisseria meningitidis,0.021270796,0.002623645,0.05898649
488,Neisseria mucosa,0.071757602,0.003249675,0.409470016
489,Neisseria polysaccharea,0.00228309,0.00252538,0.001743114
490,Neisseria sicca,0.005105676,0.00253,0.007533459
493,Neisseria canis,0.006612776,0.001014785,0.03345543
495,Neisseria elongata,0.004576574,0.001671845,0.012858709
496,Neisseria macacae,0.042537977,0.00260177,0.399880102
498,Psychrobacter immobilis,0.001574783,0.00071821,0.002870856
500,Thermomicrobium roseum,0.002663911,0.00245955,0.002225293
502,Kingella denitrificans,0.002518758,0.00243534,0.001146173
504,Kingella kingae,9.21E-05,9.21E-05,0
505,Kingella oralis,0.018656221,0.0028144,0.039118424
511,Alcaligenes faecalis,0.203970924,0.003691405,1.386958232
512,Alcaligenes sp.,0.010996,0.01074,0.008194119
518,Bordetella bronchiseptica,0.002483907,0.00139252,0.00491806
519,Bordetella parapertussis,0.00414443,0.00414443,0
520,Bordetella pertussis,0.002336641,0.00176392,0.002062127
521,Bordetella avium,0.002807085,0.00260498,0.002019927
523,Acidiphilium angustum,0.00414413,0.00414413,0
524,Acidiphilium cryptum,0.043687444,0.000821558,0.203842214
526,Acidiphilium rubrum,0.013916186,0.01421625,0.013055167
529,Ochrobactrum anthropi,0.044328243,0.00352095,0.2271364
531,Polaribacter irgensii,0.001357313,0.000996546,0.000941558
533,Beijerinckia indica,0.000714488,0.000577611,0.000516924
536,Chromobacterium violaceum,0.004195024,0.0026253,0.005404091
537,Iodobacter fluviatilis,0.001973063,0.00139619,0.001838795
539,Eikenella corrodens,0.015380783,0.003054115,0.049307245
542,Zymomonas mobilis,0.007532449,0.002244835,0.032456822
545,Citrobacter koseri,0.125533929,0.048925,0.203937325
546,Citrobacter freundii,0.326528006,0.0105,1.79290581
548,[Enterobacter] aerogenes,4.105519015,0.04474,15.3769594
549,Pantoea agglomerans,0.016551177,0.00253721,0.120431853
550,Enterobacter cloacae,1.000008241,0.028285,6.90301989
553,Pantoea ananatis,0.065505232,0.0041266,1.181134295
554,Pectobacterium carotovorum,0.00285822,0.00285822,0
562,Escherichia coli,1.997061662,0.09580565,7.1511087
563,Shimwellia blattae,0.006311972,0.00198397,0.029013472
564,Escherichia fergusonii,0.056058696,0.02015,0.094152833
565,Escherichia hermannii,0.577966364,0.0537,1.643424912
569,Hafnia alvei,0.033686429,0.00736,0.059244511
571,Klebsiella oxytoca,2.459757625,0.03387,10.75520751
573,Klebsiella pneumoniae,0.826789687,0.0154009,4.652671759
576,Klebsiella sp.,0.156337,0.021675,0.391711219
582,Morganella morganii,0.215858259,0.00421088,2.646108311
584,Proteus mirabilis,0.701025077,0.00376946,6.105699654
585,Proteus vulgaris,0.065430896,0.003207575,0.304979529
587,Providencia rettgeri,0.36237963,0.004231335,3.143299735
588,Providencia stuartii,0.116114015,0.00441805,0.781377286
614,Serratia liquefaciens,2.17761,0.04598,3.727003321
615,Serratia marcescens,0.498101694,0.09835,1.211537109
621,Shigella boydii,0.00483426,0.00351321,0.004543896
623,Shigella flexneri,0.011532175,0.00382668,0.029454999
624,Shigella sonnei,0.047074127,0.02263,0.081903036
628,Xenorhabdus nematophila,0.005484085,0.00269876,0.009364683
630,Yersinia enterocolitica,0.030514304,0.00386,0.049420661
632,Yersinia pestis,0.009013311,0.002707945,0.029901704
633,Yersinia pseudotuberculosis,0.00045693,0.00045693,0.000241983
638,Arsenophonus nasoniae,0.003159374,0.00237135,0.002880587
644,Aeromonas hydrophila,0.016444063,0.00224653,0.087674709
645,Aeromonas salmonicida,0.004213423,0.003037155,0.006503201
647,Aeromonas sp.,0.027862,0.01783,0.032071684
648,Aeromonas caviae,0.014916667,0.01467,0.01164196
651,Aeromonas media,0.05612,0.05612,0
654,Aeromonas veronii,0.011229214,0.002422835,0.046007375
659,Photobacterium phosphoreum,0.005369082,0.00104743,0.019586094
663,Vibrio alginolyticus,0.068278732,0.00231183,0.698934324
666,Vibrio cholerae,0.001778639,0.00142963,0.001335473
668,Aliivibrio fischeri,0.00400151,0.00400151,0
669,Vibrio harveyi,0.024770702,0.0013474,0.318580571
670,Vibrio parahaemolyticus,0.002136765,0.00134989,0.002392406
671,Vibrio proteolyticus,0.000831809,0.00091772,0.000474696
672,Vibrio vulnificus,0.003244148,0.00117693,0.009471392
673,Grimontia hollisae,0.000938767,0.00112896,0.000351014
674,Vibrio mimicus,0.001370109,0.000699478,0.001572124
678,Vibrio sp.,0.001464965,0.00113365,0.001101293
685,Vibrio diazotrophicus,0.002235474,0.001425,0.002743665
687,Vibrio gazogenes,0.001607819,0.001053845,0.002326921
691,Vibrio natriegens,0.00088458,0.000841764,0.000678977
703,Plesiomonas shigelloides,0.013078732,0.003264025,0.067436879
714,Aggregatibacter actinomycetemcomitans,0.006249968,0.00221031,0.033508968
715,Actinobacillus pleuropneumoniae,0.001772798,0.001128345,0.001756301
716,Actinobacillus suis,0.001741475,0.00123856,0.001830053
717,Actinobacillus capsulatus,0.00165159,0.00137251,0.001299808
718,Actinobacillus equuli,0.001144557,0.00117132,0.000393895
719,Actinobacillus hominis,0.001189481,0.00116199,0.000315314
720,Actinobacillus lignieresii,0.008874021,0.00192585,0.019741519
723,Actinobacillus ureae,0.004035548,0.00147161,0.013805253
726,Haemophilus haemolyticus,0.095531738,0.00390865,1.614691995
727,Haemophilus influenzae,0.078677659,0.00369467,1.18767024
728,Avibacterium paragallinarum,0.003577175,0.0025705,0.003000368
729,Haemophilus parainfluenzae,0.443274396,0.0493682,2.282936177
730,[Haemophilus] ducreyi,0.00209965,0.00161475,0.001781449
731,Histophilus somni,0.105012308,0.00394027,0.16077797
732,Aggregatibacter aphrophilus,0.008608455,0.00277352,0.01570475
733,Haemophilus haemoglobinophilus,0.001798101,0.001247025,0.00188465
735,Haemophilus parahaemolyticus,0.019290646,0.00252815,0.122042704
736,Haemophilus paraphrohaemolyticus,0.022272581,0.00489787,0.088824179
738,[Haemophilus] parasuis,0.00553063,0.00217415,0.014142001
739,Aggregatibacter segnis,0.027866945,0.0036299,0.121918409
747,Pasteurella multocida,0.0029183,0.00163473,0.003491385
749,[Pasteurella] aerogenes,0.00280981,0.00172942,0.003995474
750,Gallibacterium anatis,0.049947943,0.001850375,0.124155812
752,Pasteurella bettyae,0.000176123,0.000176123,4.73E-05
753,Pasteurella canis,0.002365011,0.00111329,0.002991393
754,Pasteurella dagmatis,0.001679952,0.00121153,0.001728302
755,Avibacterium gallinarum,0.001162287,0.000968073,0.00061379
756,Pasteurella langaaensis,0.001794334,0.00145372,0.001225751
758,[Pasteurella] pneumotropica,0.002426422,0.001671695,0.002467667
761,Pasteurella testudinis,0.002763817,0.0020826,0.00348794
762,Avibacterium volantium,0.00372315,0.00372315,0
770,Anaplasma marginale,0.000824464,0.000535584,0.000805015
774,Bartonella bacilliformis,0.01961339,0.000854569,0.046021501
777,Coxiella burnetii,0.004065487,0.00196241,0.00820064
779,Ehrlichia ruminantium,0.001421737,0.000669098,0.001791935
781,Rickettsia conorii,0.000854212,0.000854212,0
782,Rickettsia prowazekii,0.000529151,0.000529151,5.97E-05
783,Rickettsia rickettsii,0.000535611,0.000579925,0.000465323
784,Orientia tsutsugamushi,0.001151378,0.000770503,0.000902608
785,Rickettsia typhi,0.001485355,0.000883451,0.001486961
786,Rickettsia akari,0.000734306,0.000769969,0.000187884
787,Rickettsia australis,0.000142911,0.000142911,0
788,Rickettsia canadensis,0.000892905,0.000766031,0.000466098
803,Bartonella quintana,0.15529919,0.15529919,0.21821147
807,Bartonella elizabethae,0.016304923,0.000837886,0.056909766
813,Chlamydia trachomatis,0.004108362,0.00252092,0.005189822
817,Bacteroides fragilis,1.194952879,0.1208295,4.536548506
818,Bacteroides thetaiotaomicron,1.017859282,0.394232,2.198975466
820,Bacteroides uniformis,4.608745988,2.110325,6.386638574
821,Bacteroides vulgatus,4.090026205,1.25477,6.860150994
823,Parabacteroides distasonis,0.900920468,0.2780875,1.977176075
824,Campylobacter gracilis,0.020465624,0.002804855,0.123489278
826,Sebaldella termitidis,0.002376176,0.00075463,0.005355509
827,Campylobacter ureolyticus,0.054933645,0.00408737,0.362361716
831,Butyrivibrio fibrisolvens,0.01390421,0.004428765,0.051713913
833,Fibrobacter succinogenes,0.002825885,0.00115191,0.008628231
837,Porphyromonas gingivalis,0.013852582,0.00206465,0.053738108
839,Prevotella ruminicola,0.072501157,0.0099318,0.348111789
840,Prevotella loescheii,0.15507643,0.00531944,0.942968804
844,Wolinella succinogenes,0.048140608,0.00127498,0.328386796
847,Oxalobacter formigenes,0.054550578,0.0133385,0.127332187
849,Fusobacterium gonidiaformans,1.299377409,0.00555957,8.130829519
850,Fusobacterium mortiferum,0.641850401,0.00923148,3.191471725
851,Fusobacterium nucleatum,0.08484212,0.004653415,1.402087699
852,Fusobacterium perfoetens,0.041110478,0.00452499,0.140164864
853,Faecalibacterium prausnitzii,4.752434555,2.905775,6.078683293
855,Fusobacterium simiae,0.000397164,0.000397164,0
856,Fusobacterium varium,0.237669988,0.00570711,1.843007385
858,Fusobacterium necrogenes,0.030981629,0.00412479,0.076032688
859,Fusobacterium necrophorum,0.032924596,0.00287977,0.352596181
860,Fusobacterium periodonticum,0.13239309,0.003379145,0.694752174
861,Fusobacterium ulcerans,0.126761065,0.007415505,0.485414669
863,Syntrophomonas wolfei,0.010274036,0.00200413,0.120185602
865,Pectinatus frisingensis,0.002834892,0.00144299,0.005720734
867,Ruminobacter amylophilus,0.00274778,0.00176682,0.004236491
870,Dichelobacter nodosus,0.001694467,0.000950819,0.001632349
873,Desulfovibrio africanus,0.003083055,0.00174368,0.003881941
876,Desulfovibrio desulfuricans,0.067794156,0.0122864,0.220125102
878,Desulfovibrio fructosivorans,0.001971498,0.0014613,0.001726269
879,Desulfovibrio gigas,0.008234026,0.00299204,0.022329679
880,Desulfovibrio salexigens,0.00154248,0.000997347,0.001380945
881,Desulfovibrio vulgaris,0.025486385,0.00485956,0.164185082
888,Desulfobotulus sapovorans,0.002212203,0.00191571,0.00188
889,Desulfovibrio longus,0.002151703,0.001485635,0.001598864
891,Desulfuromonas acetoxidans,0.003331147,0.0008632,0.012621703
894,Desulfobulbus propionicus,0.005601841,0.000995126,0.019165074
897,Desulfococcus multivorans,0.001707004,0.0011879,0.00167769
899,Desulfomicrobium baculatum,0.002960984,0.002104795,0.003178051
901,Desulfovibrio piger,0.24633594,0.05296005,0.463602238
905,Acidaminococcus fermentans,0.147014087,0.00605547,0.601507798
907,Megasphaera elsdenii,0.683952623,0.00506452,3.30367131
913,Nitrobacter winogradskyi,0.003206503,0.00213657,0.003406477
915,Nitrosomonas europaea,0.002512976,0.00233035,0.001883547
916,Nitrosomonas eutropha,0.002630949,0.000884686,0.003181323
920,Acidithiobacillus ferrooxidans,0.006565071,0.00315237,0.01249128
921,Starkeya novella,0.00152138,0.001006029,0.001277229
926,Thiomonas intermedia,0.013391644,0.004360795,0.020050882
927,Halothiobacillus neapolitanus,0.042708755,0.00176703,0.091317477
929,Thermithiobacillus tepidarius,0.001613972,0.001395189,0.001219639
930,Acidithiobacillus thiooxidans,0.002949467,0.001300865,0.005737265
931,Thiobacillus thioparus,0.002200623,0.00128228,0.002485801
934,Thiomicrospira pelophila,0.003477687,0.00139782,0.006042144
940,Hydrogenobacter thermophilus,0.0020642,0.0020642,0
944,Ehrlichia canis,0.000329025,0.000329025,6.11E-05
945,Ehrlichia chaffeensis,0.001463684,0.00140376,0.001351731
948,Anaplasma phagocytophilum,0.001683311,0.00112179,0.001729826
950,Neorickettsia risticii,0.000615304,0.000579925,0.000437042
951,Neorickettsia sennetsu,0.000571645,0.000571645,0
954,Francisella persica,0.001598985,0.00123586,0.001157741
959,Bdellovibrio bacteriovorus,0.006739605,0.00224341,0.029292528
960,Bacteriovorax stolpii,0.006994866,0.00246218,0.045579922
964,Herbaspirillum seropedicae,0.057635633,0.00213735,0.311278554
966,Oceanospirillum linum,0.004319919,0.00215607,0.007307792
971,Selenomonas ruminantium,0.010282593,0.00285388,0.035306258
974,Sporohalobacter lortetii,0.001722839,0.001225575,0.001438846
979,Cellulophaga lytica,0.001841458,0.00162819,0.001562169
981,Persicobacter diffluens,0.001559854,0.000741955,0.001777652
982,Saccharicrinis fermentans,0.005501241,0.00375101,0.011055626
983,Flavobacterium flevense,0.003926291,0.00237902,0.004280904
984,Pedobacter heparinus,0.023981874,0.00268495,0.054749665
985,Cytophaga hutchinsonii,0.003233506,0.00318756,0.002610649
986,Flavobacterium johnsoniae,0.010406105,0.001179325,0.061273148
987,Aquimarina latercula,0.00242334,0.00242334,2.99E-05
989,Marinilabilia salmonicolor,0.001854658,0.00113392,0.002145054
990,Cytophaga xylanolytica,0.006462402,0.003363955,0.027915747
991,Flavobacterium hydatis,0.03290374,0.00172682,0.098846461
995,Solitalea canadensis,0.003279181,0.00298927,0.002740061
996,Flavobacterium columnare,0.006774089,0.0022605,0.018874731
998,Flexibacter flexilis,0.004688907,0.002692045,0.007307693
999,Flexibacter litoralis,0.010659295,0.009592825,0.008066501
1001,Flexibacter polymorphus,0.001516653,0.000582167,0.001806727
1002,Flexibacter roseolus,0.000852922,0.000615927,0.000813211
1003,Flexibacter ruber,0.00219236,0.00187276,0.001952525
1004,Chitinophaga sancti,0.001933699,0.00108245,0.002501735
1006,Marivirga tractuosa,0.032023569,0.01158255,0.069311055
1008,Saprospira grandis,0.253011859,0.05859935,0.511634604
1010,Sphingobacterium mizutaii,0.076997323,0.00301623,0.338540307
1014,Weeksella virosa,0.00446552,0.00205664,0.005544597
1015,Bergeyella zoohelcum,0.01832522,0.00565091,0.045743399
1017,Capnocytophaga gingivalis,0.02572364,0.002282765,0.080380504
1018,Capnocytophaga ochracea,0.091276367,0.00415317,0.506079783
1019,Capnocytophaga sputigena,0.04091622,0.00344762,0.09126845
1022,Beggiatoa alba,0.002058453,0.001012724,0.003387054
1025,Flammeovirga arenaria,0.004360656,0.0025734,0.006066785
1026,Marinoscillum furvescens,0.002028435,0.00129309,0.002075776
1027,Microscilla marina,0.005332027,0.00436548,0.004383077
1028,Marivirga sericea,0.003716527,0.00136149,0.007337383
1031,Thiothrix nivea,0.002603982,0.002597985,0.001447877
1034,Afipia clevelandensis,0.007941198,0.00400826,0.009794422
1048,Marichromatium gracile,0.001085997,0.000815745,0.000832979
1049,Allochromatium vinosum,0.000338975,0.000266916,0.000240337
1052,Halorhodospira halochloris,0.00247392,0.001507,0.002833146
1053,Halorhodospira halophila,0.159412037,0.00155717,0.266055651
1054,Ectothiorhodospira shaposhnikovii,0.004990911,0.004766445,0.003299391
1057,Thiococcus pfennigii,0.005551324,0.00349224,0.007591171
1061,Rhodobacter capsulatus,0.009538003,0.0017264,0.019209759
1062,Rhodobacter sp.,0.005640464,0.00227275,0.010098667
1063,Rhodobacter sphaeroides,0.00632151,0.00197328,0.013067316
1066,Rhodocyclus tenuis,0.002386376,0.00222177,0.001592485
1069,Rhodomicrobium vannielii,0.002165181,0.0011618,0.002112636
1071,Rhodopila globiformis,0.001722254,0.001286175,0.001659534
1074,Rhodoblastus acidophilus,0.001127426,0.00118471,0.000293667
1075,Rhodobacter blasticus,0.007894834,0.00234621,0.016053298
1076,Rhodopseudomonas palustris,0.089044067,0.00188619,0.905747405
1079,Blastochloris viridis,0.00153015,0.001006765,0.002307731
1080,Afifella marina,0.002220511,0.00170842,0.002208908
1083,Phaeospirillum molischianum,0.000534117,0.000575218,0.000248587
1084,Pararhodospirillum photometricum,0.204606985,0.00469572,0.338951658
1085,Rhodospirillum rubrum,0.014871892,0.001935955,0.079112628
1086,Rhodothalassium salexigens,0.001864705,0.000694372,0.002203578
1087,Rhodovibrio salinarum,0.001456602,0.000721294,0.001793708
1088,Rhodovibrio sodomensis,0.003298952,0.0022701,0.003519153
1092,Chlorobium limicola,0.002771506,0.000921515,0.004028824
1094,Chlorobium phaeovibrioides,0.000367488,0.000303149,0.000297647
1096,Chlorobium phaeobacteroides,0.001794491,0.000768285,0.004576425
1097,Chlorobaculum tepidum,0.000714556,0.000714556,0
1100,Pelodictyon luteolum,0.001309028,0.000871893,0.00124638
1102,Prosthecochloris aestuarii,0.000558484,0.000558484,0.000385602
1108,Chloroflexus aurantiacus,0.004028982,0.00130454,0.009927221
1112,Porphyrobacter neustonensis,0.013548281,0.0033524,0.026313156
1124,Chlorogloeopsis fritschii,0.000910225,0.000910225,0
1126,Microcystis aeruginosa,0.00311926,0.000909513,0.006792525
1147,Synechocystis sp. PCC 6714,0.001628834,0.00112642,0.001288555
1148,Synechocystis sp. PCC 6803,0.001486823,0.000869416,0.001571559
1160,Planktothrix agardhii,0.00206414,0.001893095,0.001467408
1164,Trichormus azollae,0.00151485,0.00151485,0
1165,Anabaena cylindrica,0.001361395,0.001298339,0.000551726
1176,Aphanizomenon flos-aquae,0.000510942,0.000510942,0
1184,Leptolyngbya boryana,0.000992176,0.000650483,0.000895811
1206,Trichodesmium erythraeum,5.438837168,0.41238235,10.33312003
