Pathways	Species	Taxonomic-Range
sulfide oxidation I (to sulfur globules)	Chlorobaculum tepidum // Acidithiobacillus ferrooxidans // Shewanella putrefaciens // Rhodobacter capsulatus // Paracoccus denitrificans // Pseudanabaena limnetica // Chlorobium limicola // Aphanothece halophytica // Allochromatium vinosum	Bacteroidetes/Chlorobi group // Cyanobacteria // Proteobacteria
fatty acid biosynthesis initiation (mitochondria)	Homo sapiens // Saccharomyces cerevisiae	Metazoa // Fungi
ascorbate glutathione cycle	Brassica rapa // Cucumis sativus // Euglena // Pisum sativum // Solanum tuberosum // Spinacia oleracea // Arabidopsis thaliana // Cucurbita pepo medullosa 	Euglenozoa // Viridiplantae // Cyanobacteria
4-hydroxybenzoate biosynthesis II (bacteria)	Escherichia coli // Methanocaldococcus jannaschii // Mycobacterium tuberculosis // Synechocystis sp. PCC 6803 // Xanthomonas campestris	Archaea // Bacteria <bacteria>
superpathway of sulfide oxidation (<i>Acidithiobacillus ferrooxidans</i>)	Acidithiobacillus ferrooxidans	Proteobacteria
superpathway of fatty acid biosynthesis initiation	Escherichia coli	Entamoebidae // Metazoa // Fungi // Bacteria <bacteria>
4-hydroxybenzoate biosynthesis I (eukaryotes)	Homo sapiens // Saccharomyces cerevisiae	Eukaryota
starch degradation IV	Thermococcus sp. B1001	Archaea
polyhydroxydecanoate biosynthesis	Pseudomonas aeruginosa // Pseudomonas oleovorans // Pseudomonas putida // Pseudomonas putida // Pseudomonas putida	Archaea // Bacteria <bacteria>
superoxide radicals degradation	Escherichia coli // Arabidopsis thaliana	Eukaryota // Bacteria <bacteria>
4-hydroxybenzoate biosynthesis III (plants)	Lithospermum erythrorhizon	Viridiplantae
starch degradation III	Archaeoglobus fulgidus	Archaea
photosynthetic 3-hydroxybutanoate biosynthesis (engineered)	Clostridium acetobutylicum // Clostridium acetobutylicum // Cupriavidus necator // Escherichia coli // Synechocystis sp. PCC 6803	Bacteria <bacteria>
4-hydroxybenzoate biosynthesis IV (plants)	Daucus carota // Lithospermum erythrorhizon // Solanum tuberosum	Viridiplantae
starch degradation I	Hordeum vulgare // Oryza sativa // Zea mays	Poaceae
(R)- and (S)-3-hydroxybutanoate biosynthesis (engineered)	Clostridium acetobutylicum // Clostridium acetobutylicum // Cupriavidus necator // Escherichia coli	Bacteria <bacteria>
biotin biosynthesis from 8-amino-7-oxononanoate I	Candidatus Nitrososphaera gargensis Ga9.2 // Corynebacterium glutamicum // Escherichia coli // Mesorhizobium loti // Arabidopsis thaliana // Sinorhizobium meliloti Rm2011	Methanococcales // Thaumarchaeota // Fungi // Viridiplantae // Bacteria <bacteria>
starch degradation II	Chlamydomonas reinhardtii // Solanum tuberosum // Arabidopsis thaliana	Viridiplantae
cyanophycin metabolism	Nostoc sp. PCC 7120 = FACHB-418 // Acinetobacter baylyi // Geminocystis herdmanii // Synechocystis sp. PCC 6803 // Thermosynechococcus vestitus	Bacteria <bacteria>
biotin biosynthesis I	Escherichia coli // Francisella tularensis // Haemophilus influenzae // Helicobacter pylori // Prochlorococcus marinus	Bacteria <bacteria>
starch degradation V	Pyrococcus furiosus // Pyrococcus furiosus	Archaea
polyhydroxybutanoate biosynthesis	Azospirillum brasilense // Azotobacter beijerinckii // Azotobacter vinelandii // Caulobacter vibrioides // Cupriavidus necator // Desmonostoc muscorum // Cereibacter sphaeroides // Kitasatospora aureofaciens // Zoogloea ramigera	Archaea // Bacteria <bacteria>
biotin biosynthesis from 8-amino-7-oxononanoate III	Synechocystis sp. PCC 6803	Halobacteria // Cyanobacteria
sorbitol biosynthesis II	Zymomonas mobilis	Proteobacteria
tetrahydroxyxanthone biosynthesis (from 3-hydroxybenzoate)	Centaurium erythraea	Tracheophyta
biotin biosynthesis from 8-amino-7-oxononanoate II	Bacillus subtilis // Bacillus subtilis	Bacteroidetes/Chlorobi group // Firmicutes
salicylate glucosides biosynthesis III	Ipomoea nil // Nicotiana tabacum // Arabidopsis thaliana	Nicotiana tabacum // Ipomoea nil // Arabidopsis thaliana
tetrahydroxyxanthone biosynthesis (from benzoate)	Clarkia breweri // Hypericum androsaemum	Tracheophyta
cell-surface glycoconjugate-linked phosphocholine biosynthesis	Haemophilus influenzae // Streptococcus pneumoniae	Bacteria <bacteria>
biotin biosynthesis II	Bacillus subtilis // Bacillus subtilis // Lysinibacillus sphaericus // Methylobacillus flagellatus	Bacteria <bacteria>
salicylate glucosides biosynthesis II	Catharanthus roseus // Fagopyrum esculentum // Arabidopsis thaliana	Catharanthus roseus // Fagopyrum esculentum // Arabidopsis thaliana
superpathway of tetrahydroxyxanthone biosynthesis	Centaurium erythraea // Clarkia breweri // Hypericum androsaemum	Tracheophyta
salicylate glucosides biosynthesis I	Arabidopsis thaliana	Arabidopsis thaliana
2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA	Felis catus // Homo sapiens	Fungi // Metazoa
hyperxanthone E biosynthesis	Hypericum calycinum	Tracheophyta
salicylate glucosides biosynthesis IV	Brassica napus // Nicotiana tabacum // Populus // Arabidopsis thaliana	Embryophyta
nitrilotriacetate degradation	Aminobacter aminovorans // Chelatococcus asaccharovorans // Kluyveromyces marxianus	Proteobacteria // Fungi
salicylate degradation IV	Streptomyces sp. WA46	Bacteria <bacteria>
D-threonate degradation	Cupriavidus necator // Salmonella enterica	Bacteria <bacteria>
suberin monomers biosynthesis	Solanum tuberosum // Arabidopsis thaliana	Tracheophyta
salicylate degradation III	Cutaneotrichosporon moniliiforme // Trichosporon moniliiforme	Fungi
D-gluconate degradation	Escherichia coli	Opisthokonta // Bacteria <bacteria>
esterified suberin biosynthesis	Solanum tuberosum // Arabidopsis thaliana	Tracheophyta
salicylate degradation II	Ralstonia sp. U2	Bacteria <bacteria>
L-threonate degradation	Haemophilus influenzae // Pectobacterium atrosepticum // Cupriavidus necator	Bacteria <bacteria>
